name,url,description,duration,test_type,adaptive_support,remote_support
"Executive Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at executive level",35,"Cognitive; Ability","Yes","Yes"
"Executive Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at executive level",42,"Cognitive; Ability","Yes","Yes"
"Executive Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at executive level",30,"Cognitive; Ability","Yes","Yes"
"Executive Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at executive level",31,"Cognitive; Ability","Yes","Yes"
"Graduate Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at graduate level",39,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at graduate level",47,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at graduate level",32,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at graduate level",46,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at graduate level",38,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at graduate level",39,"Cognitive; Ability","No","Yes"
"Graduate Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/graduate-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at graduate level",48,"Cognitive; Ability","No","Yes"
"Senior Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at senior level",36,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at senior level",40,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at senior level",45,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at senior level",33,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at senior level",43,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at senior level",30,"Cognitive; Ability","Yes","Yes"
"Senior Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/senior-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at senior level",45,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at junior level",45,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at junior level",33,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at junior level",39,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at junior level",34,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at junior level",31,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at junior level",36,"Cognitive; Ability","Yes","Yes"
"Junior Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/junior-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at junior level",37,"Cognitive; Ability","Yes","Yes"
"Intermediate Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at intermediate level",37,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at intermediate level",32,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at intermediate level",40,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at intermediate level",40,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at intermediate level",43,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at intermediate level",45,"Cognitive; Ability","No","Yes"
"Intermediate Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/intermediate-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at intermediate level",40,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at advanced level",36,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at advanced level",35,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at advanced level",50,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at advanced level",51,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at advanced level",40,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at advanced level",45,"Cognitive; Ability","No","Yes"
"Advanced Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/advanced-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at advanced level",38,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at professional level",48,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at professional level",44,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at professional level",49,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at professional level",38,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at professional level",41,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at professional level",53,"Cognitive; Ability","No","Yes"
"Professional Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/professional-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at professional level",52,"Cognitive; Ability","No","Yes"
"Executive Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at executive level",38,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at executive level",43,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at executive level",42,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at executive level",40,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at executive level",47,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at executive level",35,"Cognitive; Ability","Yes","Yes"
"Executive Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/executive-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at executive level",36,"Cognitive; Ability","Yes","Yes"
"Graduate Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at graduate level",44,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at graduate level",52,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at graduate level",37,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at graduate level",51,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at graduate level",43,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at graduate level",44,"Cognitive; Ability","No","Yes"
"Graduate Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/graduate-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at graduate level",53,"Cognitive; Ability","No","Yes"
"Senior Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at senior level",41,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at senior level",45,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at senior level",50,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at senior level",38,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at senior level",48,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at senior level",35,"Cognitive; Ability","Yes","Yes"
"Senior Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/senior-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at senior level",50,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at junior level",50,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at junior level",38,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at junior level",44,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at junior level",39,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at junior level",36,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at junior level",41,"Cognitive; Ability","Yes","Yes"
"Junior Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/junior-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at junior level",42,"Cognitive; Ability","Yes","Yes"
"Intermediate Logical Reasoning Evaluation - Sales","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-sales","Assesses logical thinking and pattern recognition skills tailored for Sales roles at intermediate level",42,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - Management","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-management","Assesses logical thinking and pattern recognition skills tailored for Management roles at intermediate level",37,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - Technical","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-technical","Assesses logical thinking and pattern recognition skills tailored for Technical roles at intermediate level",45,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - Customer Service","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-customer service","Assesses logical thinking and pattern recognition skills tailored for Customer Service roles at intermediate level",45,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - Finance","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-finance","Assesses logical thinking and pattern recognition skills tailored for Finance roles at intermediate level",48,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - HR","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-hr","Assesses logical thinking and pattern recognition skills tailored for HR roles at intermediate level",50,"Cognitive; Ability","No","Yes"
"Intermediate Logical Reasoning Evaluation - Marketing","https://www.shl.com/assessments/intermediate-logical-reasoning-evaluation-marketing","Assesses logical thinking and pattern recognition skills tailored for Marketing roles at intermediate level",45,"Cognitive; Ability","No","Yes"
"Advanced Personality Questionnaire - Sales","https://www.shl.com/assessments/advanced-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at advanced level",21,"Personality","No","Yes"
"Advanced Personality Questionnaire - Management","https://www.shl.com/assessments/advanced-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at advanced level",20,"Personality","No","Yes"
"Advanced Personality Questionnaire - Technical","https://www.shl.com/assessments/advanced-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at advanced level",35,"Personality","No","Yes"
"Advanced Personality Questionnaire - Customer Service","https://www.shl.com/assessments/advanced-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at advanced level",36,"Personality","No","Yes"
"Advanced Personality Questionnaire - Finance","https://www.shl.com/assessments/advanced-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at advanced level",25,"Personality","No","Yes"
"Advanced Personality Questionnaire - HR","https://www.shl.com/assessments/advanced-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at advanced level",30,"Personality","No","Yes"
"Advanced Personality Questionnaire - Marketing","https://www.shl.com/assessments/advanced-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at advanced level",23,"Personality","No","Yes"
"Professional Personality Questionnaire - Sales","https://www.shl.com/assessments/professional-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at professional level",33,"Personality","No","Yes"
"Professional Personality Questionnaire - Management","https://www.shl.com/assessments/professional-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at professional level",29,"Personality","No","Yes"
"Professional Personality Questionnaire - Technical","https://www.shl.com/assessments/professional-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at professional level",34,"Personality","No","Yes"
"Professional Personality Questionnaire - Customer Service","https://www.shl.com/assessments/professional-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at professional level",23,"Personality","No","Yes"
"Professional Personality Questionnaire - Finance","https://www.shl.com/assessments/professional-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at professional level",26,"Personality","No","Yes"
"Professional Personality Questionnaire - HR","https://www.shl.com/assessments/professional-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at professional level",38,"Personality","No","Yes"
"Professional Personality Questionnaire - Marketing","https://www.shl.com/assessments/professional-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at professional level",37,"Personality","No","Yes"
"Executive Personality Questionnaire - Sales","https://www.shl.com/assessments/executive-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at executive level",23,"Personality","Yes","Yes"
"Executive Personality Questionnaire - Management","https://www.shl.com/assessments/executive-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at executive level",28,"Personality","Yes","Yes"
"Executive Personality Questionnaire - Technical","https://www.shl.com/assessments/executive-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at executive level",27,"Personality","Yes","Yes"
"Executive Personality Questionnaire - Customer Service","https://www.shl.com/assessments/executive-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at executive level",25,"Personality","Yes","Yes"
"Executive Personality Questionnaire - Finance","https://www.shl.com/assessments/executive-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at executive level",32,"Personality","Yes","Yes"
"Executive Personality Questionnaire - HR","https://www.shl.com/assessments/executive-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at executive level",20,"Personality","Yes","Yes"
"Executive Personality Questionnaire - Marketing","https://www.shl.com/assessments/executive-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at executive level",21,"Personality","Yes","Yes"
"Graduate Personality Questionnaire - Sales","https://www.shl.com/assessments/graduate-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at graduate level",29,"Personality","No","Yes"
"Graduate Personality Questionnaire - Management","https://www.shl.com/assessments/graduate-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at graduate level",37,"Personality","No","Yes"
"Graduate Personality Questionnaire - Technical","https://www.shl.com/assessments/graduate-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at graduate level",22,"Personality","No","Yes"
"Graduate Personality Questionnaire - Customer Service","https://www.shl.com/assessments/graduate-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at graduate level",36,"Personality","No","Yes"
"Graduate Personality Questionnaire - Finance","https://www.shl.com/assessments/graduate-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at graduate level",28,"Personality","No","Yes"
"Graduate Personality Questionnaire - HR","https://www.shl.com/assessments/graduate-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at graduate level",29,"Personality","No","Yes"
"Graduate Personality Questionnaire - Marketing","https://www.shl.com/assessments/graduate-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at graduate level",38,"Personality","No","Yes"
"Senior Personality Questionnaire - Sales","https://www.shl.com/assessments/senior-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at senior level",26,"Personality","Yes","Yes"
"Senior Personality Questionnaire - Management","https://www.shl.com/assessments/senior-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at senior level",30,"Personality","Yes","Yes"
"Senior Personality Questionnaire - Technical","https://www.shl.com/assessments/senior-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at senior level",35,"Personality","Yes","Yes"
"Senior Personality Questionnaire - Customer Service","https://www.shl.com/assessments/senior-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at senior level",23,"Personality","Yes","Yes"
"Senior Personality Questionnaire - Finance","https://www.shl.com/assessments/senior-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at senior level",33,"Personality","Yes","Yes"
"Senior Personality Questionnaire - HR","https://www.shl.com/assessments/senior-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at senior level",20,"Personality","Yes","Yes"
"Senior Personality Questionnaire - Marketing","https://www.shl.com/assessments/senior-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at senior level",35,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Sales","https://www.shl.com/assessments/junior-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at junior level",35,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Management","https://www.shl.com/assessments/junior-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at junior level",23,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Technical","https://www.shl.com/assessments/junior-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at junior level",29,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Customer Service","https://www.shl.com/assessments/junior-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at junior level",24,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Finance","https://www.shl.com/assessments/junior-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at junior level",21,"Personality","Yes","Yes"
"Junior Personality Questionnaire - HR","https://www.shl.com/assessments/junior-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at junior level",26,"Personality","Yes","Yes"
"Junior Personality Questionnaire - Marketing","https://www.shl.com/assessments/junior-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at junior level",27,"Personality","Yes","Yes"
"Intermediate Personality Questionnaire - Sales","https://www.shl.com/assessments/intermediate-personality-questionnaire-sales","Comprehensive personality assessment for workplace behavior tailored for Sales roles at intermediate level",27,"Personality","No","Yes"
"Intermediate Personality Questionnaire - Management","https://www.shl.com/assessments/intermediate-personality-questionnaire-management","Comprehensive personality assessment for workplace behavior tailored for Management roles at intermediate level",22,"Personality","No","Yes"
"Intermediate Personality Questionnaire - Technical","https://www.shl.com/assessments/intermediate-personality-questionnaire-technical","Comprehensive personality assessment for workplace behavior tailored for Technical roles at intermediate level",30,"Personality","No","Yes"
"Intermediate Personality Questionnaire - Customer Service","https://www.shl.com/assessments/intermediate-personality-questionnaire-customer service","Comprehensive personality assessment for workplace behavior tailored for Customer Service roles at intermediate level",30,"Personality","No","Yes"
"Intermediate Personality Questionnaire - Finance","https://www.shl.com/assessments/intermediate-personality-questionnaire-finance","Comprehensive personality assessment for workplace behavior tailored for Finance roles at intermediate level",33,"Personality","No","Yes"
"Intermediate Personality Questionnaire - HR","https://www.shl.com/assessments/intermediate-personality-questionnaire-hr","Comprehensive personality assessment for workplace behavior tailored for HR roles at intermediate level",35,"Personality","No","Yes"
"Intermediate Personality Questionnaire - Marketing","https://www.shl.com/assessments/intermediate-personality-questionnaire-marketing","Comprehensive personality assessment for workplace behavior tailored for Marketing roles at intermediate level",30,"Personality","No","Yes"
"Advanced Situational Judgment Test - Sales","https://www.shl.com/assessments/advanced-situational-judgment-test-sales","Evaluates decision-making in workplace scenarios tailored for Sales roles at advanced level",41,"Situational; Behavioral","No","Yes"
"Advanced Situational Judgment Test - Management","https://www.shl.com/assessments/advanced-situational-judgment-test-management","Evaluates decision-making in workplace scenarios tailored for Management roles at advanced level",40,"Situational; Behavioral","No","Yes"
"Advanced Situational Judgment Test - Technical","https://www.shl.com/assessments/advanced-situational-judgment-test-technical","Evaluates decision-making in workplace scenarios tailored for Technical roles at advanced level",55,"Situational; Behavioral","No","Yes"
"Advanced Situational Judgment Test - Customer Service","https://www.shl.com/assessments/advanced-situational-judgment-test-customer service","Evaluates decision-making in workplace scenarios tailored for Customer Service roles at advanced level",56,"Situational; Behavioral","No","Yes"
